MMSDM_PACKAGE_NAME,MMSDM_TABLE_NAME,PDR_REPORT_NAME,PDR_REPORT_SUB_TYPE,PDR_REPORT_VERSION,PDR_REPORT_TRANSACTION_TYPE,PDR_REPORT_ROW_FILTER_TYPE
GENERIC_CONSTRAINT,SPDREGIONCONSTRAINT,SPDRC,NULL,2,INSERT,
IRAUCTION,AUCTION,IRAUCTION_CONFIG,AUCTION,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,AUCTION_CALENDAR,IRAUCTION_CONFIG,AUCTION_CALENDAR,2,INSERT-UPDATE,LASTCHANGED
IRAUCTION,AUCTION_IC_ALLOCATIONS,IRAUCTION_CONFIG,AUCTION_IC_ALLOCATIONS,2,INSERT-UPDATE,LASTCHANGED
IRAUCTION,AUCTION_REVENUE_ESTIMATE,IRAUCTION_CONFIG,AUCTION_REVENUE_ESTIMATE,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,AUCTION_REVENUE_TRACK,IRAUCTION_CONFIG,AUCTION_REVENUE_TRACK,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,AUCTION_RP_ESTIMATE,IRAUCTION_CONFIG,AUCTION_RP_ESTIMATE,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,AUCTION_TRANCHE,IRAUCTION_CONFIG,AUCTION_TRANCHE,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,RESIDUECONTRACTPAYMENTS,SETTLEMENT_CONFIG,RESIDUECONTRACTPAYMENTS,1,INSERT,
IRAUCTION,RESIDUEFILETRK,IRAUCTION_BIDS,FILE_TRK,1,INSERT,
IRAUCTION,RESIDUE_BID_TRK,IRAUCTION,RESIDUE_BID_TRK,1,INSERT,
IRAUCTION,RESIDUE_CONTRACTS,IRAUCTION,RESIDUE_CONTRACTS,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,RESIDUE_CON_DATA,IRAUCTION,RESIDUE_CON_DATA,2,INSERT,
IRAUCTION,RESIDUE_CON_ESTIMATES_TRK,IRAUCTION,RESIDUE_CON_ESTIMATES_TRK,1,INSERT,
IRAUCTION,RESIDUE_CON_FUNDS,IRAUCTION,RESIDUE_CON_FUNDS,1,INSERT,
IRAUCTION,RESIDUE_FUNDS_BID,IRAUCTION_BIDS,FUNDS_BID,1,INSERT,
IRAUCTION,RESIDUE_PRICE_BID,IRAUCTION,RESIDUE_PRICE_BID,1,INSERT,
IRAUCTION,RESIDUE_PRICE_BID,IRAUCTION_BIDS,PRICE_BID,1,INSERT,
IRAUCTION,RESIDUE_PRICE_FUNDS_BID,IRAUCTION,RESIDUE_PRICE_FUNDS_BID,1,INSERT,
IRAUCTION,RESIDUE_PUBLIC_DATA,IRAUCTION,RESIDUE_PUBLIC_DATA,1,INSERT,
IRAUCTION,RESIDUE_TRK,IRAUCTION,RESIDUE_TRK,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,SRA_CASH_SECURITY,IRAUCTION,SRA_CASH_SECURITY,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,SRA_FINANCIAL_AUCPAY_DETAIL,IRAUCTION,SRA_FINANCIAL_AUCPAY_DETAIL,1,INSERT,
IRAUCTION,SRA_FINANCIAL_AUCPAY_SUM,IRAUCTION,SRA_FINANCIAL_AUCPAY_SUM,1,INSERT,
IRAUCTION,SRA_FINANCIAL_AUC_MARDETAIL,IRAUCTION,SRA_FINANCIAL_AUC_MARDETAIL,1,INSERT,
IRAUCTION,SRA_FINANCIAL_AUC_MARGIN,IRAUCTION,SRA_FINANCIAL_AUC_MARGIN,1,INSERT,
IRAUCTION,SRA_FINANCIAL_AUC_RECEIPTS,IRAUCTION,SRA_FINANCIAL_AUC_RECEIPTS,1,INSERT,
IRAUCTION,SRA_FINANCIAL_RUNTRK,IRAUCTION,SRA_FINANCIAL_RUNTRK,1,INSERT,
IRAUCTION,SRA_OFFER_PRODUCT,IRAUCTION,SRA_OFFER_PRODUCT,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,SRA_OFFER_PROFILE,IRAUCTION,SRA_OFFER_PROFILE,1,INSERT-UPDATE,LASTCHANGED
IRAUCTION,SRA_PRUDENTIAL_CASH_SECURITY,IRAUCTION,SRA_PRUDENTIAL_CASH_SECURITY,1,INSERT,
IRAUCTION,SRA_PRUDENTIAL_COMP_POSITION,IRAUCTION,SRA_PRUDENTIAL_COMP_POSITION,1,INSERT,
IRAUCTION,SRA_PRUDENTIAL_EXPOSURE,IRAUCTION,SRA_PRUDENTIAL_EXPOSURE,1,INSERT,
IRAUCTION,SRA_PRUDENTIAL_RUN,IRAUCTION,SRA_PRUDENTIAL_RUN,1,INSERT,
IRAUCTION,VALUATIONID,IRAUCTION,VALUATIONID,1,INSERT,
MARKET_CONFIG,BIDTYPES,MARKET_CONFIG,BIDTYPES,1,INSERT-UPDATE,LASTCHANGED
MARKET_CONFIG,BIDTYPESTRK,MARKET_CONFIG,BIDTYPESTRK,1,INSERT-UPDATE,LASTCHANGED
MARKET_CONFIG,INTERCONNECTOR,MARKET_CONFIG,INTERCONNECTOR,1,INSERT-UPDATE,LASTCHANGED
MARKET_CONFIG,INTERCONNECTORALLOC,MARKET_CONFIG,INTERCONNECTORALLOC,1,INSERT,
MARKET_CONFIG,INTERCONNECTORCONSTRAINT,MARKET_CONFIG,INTERCONNECTORCONSTRAINT,1,INSERT-UPDATE,LASTCHANGED
MARKET_CONFIG,INTRAREGIONALLOC,MARKET_CONFIG,INTRAREGIONALLOC,1,INSERT,
MARKET_CONFIG,LOSSFACTORMODEL,MARKET_CONFIG,LOSSFACTORMODEL,1,INSERT-UPDATE,LASTCHANGED
MARKET_CONFIG,LOSSMODEL,MARKET_CONFIG,LOSSMODEL,1,INSERT-UPDATE,LASTCHANGED
MARKET_CONFIG,MARKET_PRICE_THRESHOLDS,MARKET_CONFIG,MARKET_PRICE_THRESHOLDS,1,INSERT,
MARKET_CONFIG,REGION,MARKET_CONFIG,REGION,1,INSERT-UPDATE,LASTCHANGED
MARKET_CONFIG,REGIONSTANDINGDATA,MARKET_CONFIG,REGIONSTANDINGDATA,1,INSERT-UPDATE,LASTCHANGED
MARKET_CONFIG,TRANSMISSIONLOSSFACTOR,MARKET_CONFIG,TRANSMISSIONLOSSFACTOR,2,INSERT-UPDATE,LASTCHANGED
MARKET_NOTICE,MARKETNOTICEDATA,MARKET_NOTICE,MARKETNOTICEDATA,1,INSERT,
MARKET_NOTICE,MARKETNOTICETYPE,MARKET_NOTICE,MARKETNOTICETYPE,1,INSERT-UPDATE,LASTCHANGED
MARKET_NOTICE,PARTICIPANTNOTICETRK,MARKET_NOTICE,PARTICIPANTNOTICETRK,1,INSERT,
MCC_DISPATCH,MCC_CASESOLUTION,MCC,CASESOLUTION,1,INSERT,
MCC_DISPATCH,MCC_CASESOLUTION,MCC,CASESOLUTION,1,INSERT,
MCC_DISPATCH,MCC_CONSTRAINTSOLUTION,MCC,CONSTRAINTSOLUTION,1,INSERT,
MCC_DISPATCH,MCC_CONSTRAINTSOLUTION,MCC,CONSTRAINTSOLUTION,1,INSERT,
METER_DATA,GENUNITMTRINPERIOD,METER_DATA,GENERATOR,1,INSERT,
METER_DATA,INTERCONNMWFLOW,METER_DATA,INTERCONNECTOR,1,INSERT,
METER_DATA,METERDATA,METER_DATA,CUSTOMER,1,INSERT,
METER_DATA,METERDATATRK,METER_DATA,CUSTOMER_TRK,1,INSERT,
METER_DATA,METERDATA_AGGREGATE_READS,METERDATA,AGGREGATE_READS,1,INSERT,
