REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE
GSH,CAPACITY_TRANSFER_NOTICE,1,GSH_CAP_XFR_NOTICE,INSERT-UPDATE,LASTCHANGED
GSH,CONTRACT_DETAILS,1,GSH_CONTRACT_DETAILS,INSERT-UPDATE,LASTCHANGED
GSH,CONTRACT_REFERENCES,1,GSH_CONTRACT_REFERENCES,INSERT-UPDATE,LASTCHANGED
GSH,DELIVERED_QUANTITY,1,GSH_DELIVERED_QUANTITY,INSERT-UPDATE,LASTCHANGED
GSH,DELIVERY_NETT_POINTS,1,GSH_DELIVERY_NETT_POINTS,INSERT,
GSH,DELIVERY_NETT_PREFS,1,GSH_DELIVERY_NETT_PREFS,INSERT,
GSH,DELIVERY_OBLIGATION,2,GSH_DELIVERY_OBLIGATIONS,INSERT-UPDATE,LASTCHANGED
GSH,DELIVERY_OBLIGATION,1,GSH_DELIVERY_OBLIGATIONS,INSERT-UPDATE,LASTCHANGED
GSH,FACILITIES,1,GSH_FACILITIES,INSERT-UPDATE,LASTCHANGED
GSH,HISTORICAL_SUMMARY,1,GSH_HISTORICAL_SUMMARY,INSERT-UPDATE,LASTCHANGED
GSH,MARKET_CONTACTS,1,GSH_PARTICIPANT_CONTACTS,INSERT-UPDATE,LASTCHANGED
GSH,NOTIONAL_POINTS,1,GSH_NOTIONAL_POINTS,INSERT-UPDATE,LASTCHANGED
GSH,ORDERS,2,GSH_ORDERS,INSERT-UPDATE,LASTCHANGED
GSH,ORDERS,3,GSH_ORDERS,INSERT-UPDATE,LASTCHANGED
GSH,PARK_SERVICES,1,GSH_PARK_SERVICES,INSERT-UPDATE,LASTCHANGED
GSH,PARTICIPANTS,2,GSH_PARTICIPANTS,INSERT-UPDATE,LASTCHANGED
GSH,PARTICIPANTS,1,GSH_PARTICIPANTS,INSERT-UPDATE,LASTCHANGED
GSH,PARTICIPANT_OPSTATE,1,GSH_PARTICIPANT_OPSTATE,INSERT-UPDATE,LASTCHANGED
GSH,PIPELINE_SEGMENTS,1,GSH_PIPELINE_SEGMENTS,INSERT-UPDATE,LASTCHANGED
GSH,RECEIPT_DELIVERY_POINT_PREF,1,GSH_RCPT_DELIV_POINT_PREFS,INSERT-UPDATE,LASTCHANGED
GSH,REVISED_AUCTION_QUANTITIES,1,GSH_REVISED_AUCT_QUANTITIES,INSERT-UPDATE,LASTCHANGED
GSH,SECDEPOSIT_INTEREST_RATE,1,GSH_SECDEPOSIT_INTEREST_RATE,INSERT,
GSH,SERVICE_POINTS,1,GSH_SERVICE_POINTS,INSERT-UPDATE,LASTCHANGED
GSH,SHIPPER_CAPACITY_XFR_NOTICE,1,GSH_SHIPPER_CAP_XFR_NOTICE,INSERT-UPDATE,LASTCHANGED
GSH,TRADES,3,GSH_TRADES,INSERT-UPDATE,LASTCHANGED
GSH,TRADES,4,GSH_TRADES,INSERT-UPDATE,LASTCHANGED
GSH,TRADES_STAGING,1,GSH_TRADES_STAGING,INSERT-UPDATE,LASTCHANGED
GSH,TRADING_CONTACTS,1,GSH_TRADING_CONTACTS,INSERT-UPDATE,LASTCHANGED
GSH,TRANSACTION_SUMMARY,1,GSH_TRANSACTION_SUMMARY,INSERT-UPDATE,LASTCHANGED
GSH,ZONES,1,GSH_ZONES,INSERT-UPDATE,LASTCHANGED
GSH,ZONE_CURTAILMENT_INFORMATION,1,GSH_ZONE_CURTAILMENT,INSERT-UPDATE,LASTCHANGED
GSH_PRUDENTIAL,AUCTION_FORWARD_EXPOSURE,1,GSH_PRD_AUCT_FWD_EXPOSURE,INSERT,
GSH_PRUDENTIAL,BANK_GUARANTEES,1,GSH_PRD_BANK_GUARANTEES,INSERT,
GSH_PRUDENTIAL,ESTIMATED_MARKET_EXPOSURE,2,GSH_PRD_EST_MARKET_EXPOSURE,INSERT,
GSH_PRUDENTIAL,ESTIMATED_MARKET_EXPOSURE,1,GSH_PRD_EST_MARKET_EXPOSURE,INSERT,
GSH_PRUDENTIAL,REALLOCATIONS,1,GSH_PRD_REALLOCATIONS,INSERT,
GSH_PRUDENTIAL,SECURITY_DEPOSITS,2,GSH_PRD_SECURITY_DEPOSITS,INSERT,
